I,V,R
3.3333333333333335,10,3
3.6666666666666665,11,3
4,12,3
4.333333333333333,13,3
4.666666666666667,14,3
5,15,3
5.333333333333333,16,3
5.666666666666667,17,3
6,18,3
6.333333333333333,19,3
6.666666666666667,20,3
7,21,3
7.333333333333333,22,3
7.666666666666667,23,3
8,24,3
8.333333333333334,25,3
8.666666666666666,26,3
9,27,3
9.333333333333334,28,3
9.666666666666666,29,3
10,30,3
10.333333333333334,31,3
10.666666666666666,32,3
11,33,3
11.333333333333334,34,3
11.666666666666666,35,3
12,36,3
12.333333333333334,37,3
12.666666666666666,38,3
13,39,3
13.333333333333334,40,3
13.666666666666666,41,3
14,42,3
14.333333333333334,43,3
14.666666666666666,44,3
15,45,3
15.333333333333334,46,3
15.666666666666666,47,3
16,48,3
16.333333333333332,49,3
16.666666666666668,50,3
17,51,3
17.333333333333332,52,3
17.666666666666668,53,3
18,54,3
18.333333333333332,55,3
18.666666666666668,56,3
19,57,3
19.333333333333332,58,3
19.666666666666668,59,3
20,60,3
20.333333333333332,61,3
20.666666666666668,62,3
21,63,3
21.333333333333332,64,3
21.666666666666668,65,3
22,66,3
22.333333333333332,67,3
22.666666666666668,68,3
23,69,3
23.333333333333332,70,3
23.666666666666668,71,3
24,72,3
24.333333333333332,73,3
24.666666666666668,74,3
25,75,3
25.333333333333332,76,3
25.666666666666668,77,3
26,78,3
26.333333333333332,79,3
26.666666666666668,80,3
27,81,3
27.333333333333332,82,3
27.666666666666668,83,3
28,84,3
28.333333333333332,85,3
28.666666666666668,86,3
29,87,3
29.333333333333332,88,3
29.666666666666668,89,3
30,90,3
30.333333333333332,91,3
30.666666666666668,92,3
31,93,3
31.333333333333332,94,3
31.666666666666668,95,3
32,96,3
32.333333333333336,97,3
32.666666666666664,98,3
33,99,3
33.333333333333336,100,3
